tweet_id;;English_words;;Maori_words_from_ML_model;;Other_words
1001;;['living', 'by', 'the', 'moon', 'a', 'ā', 'apanui', 'ā', 'apanui', 'whakatōhea'];;['te', 'maramataka', 'te', 'whānau', 'wiremu', 'tāwhai', 'te', 'whānau', 'te', 'ngāti', 'awa'];;[]
1002;;['he', 'he', 'just', 'quietly', 'celebrating', 'our', 'overseas', 'using', 'correctly', 'appropriately', 'whilst', 'some', 'of', 'our', 'own', 'who', 'should', 'still', 'do', 'not', 'even', 'try'];;['ahakoa', 'iti', 'iti', 'pounamu', 'tonu', 'whanaunga', 'te', 'reo', 'māori'];;[]
1003;;['ufb', 'valentines'];;['mā', 'ka', 'rapu', 'tāne', 'ahau', 'ia', 'rā'];;['mo']
1004;;['our', 'beautiful'];;['punga', 'aro'];;['valley']
1005;;['tommorow', 'television', 'online', 'special', 'of', 'special'];;['maori'];;[]
1006;;['for', 'bt', 'for'];;['māori', 'pākehā', 'pākehā', 'māori'];;['too', 'too']
1007;;['tomato', 'pure', 'i', 'mean'];;[];;[]
1008;;['really', 'touching', 'story', 'tonite', 'with', 'john'];;['hoani', 'tino', 'pai'];;[]
1009;;['ohhhh', 'he', 'is', 'tooo', 'cute', 'little', 'white'];;['manukura'];;['kiwi']
1010;;['smashed', 'those', 'sausage', 'rolls', 'at', 'morning', 'tea'];;[];;[]
1011;;['cup', 'of', 'weak', 'tea', 'me', 'civic', 'republicanism', 'you', 'tea', 'leaves'];;[];;[]
1012;;['please', 'take', 'time', 'to', 'read', 'this', 'weeks', 'upate'];;[];;[]
1013;;['students', 'take', 'legislation', 'to', 'tribunal'];;['maori'];;['waitangi']
1014;;['here', 'are', 'the', 'lyrics', 'for', 'the', 'song', 'chorus'];;['anei', 'ngā', 'kupu', 'te', 'waiata', 'aotearoa', 'aotearoa', 'nō', 'tawhiti', 'nō', 'tata', 'nō'];;['mo']
1015;;['kia', 'on', 'this', 'glorious', 'friday', 'morning', 'in', 'we', 'have', 'over', 'favourite', 'pages', 'here', 'at'];;['ora', 'koutou', 'katoa', 'aotearoa'];;[]
1016;;['oh', 'man', 'take', 'me', 'take', 'me'];;[];;[]
